0:年_小写,1:月_小写,2:日_小写,3:单位名称_己方,4:帐号_己方,5:单位名称_对方,6:帐号_对方,7:款项用途,8:开户行_对方,9:金额_大写,10:￥金额_小写,11:输入框,12:输入框,13:输入框,16:开户行_己方,17:省份_己方,18:地市_己方,19:省份_对方,20:地市_对方,21:输入框
年,月,日,辽宁省烟草公司沈阳市公司,1,河南烟草公司,1234,款项用途,浦发郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,完善中,款项接收日期,3,province,city,province,city,2,1
年,月,日,辽宁省烟草公司锦州市公司,2,河南烟草公司,1234,款项用途,浦发郑州分行,叁拾叁万捌千柒百柒拾叁元伍角整,338773.5,托收票据名称,完善中,款项接收日期,2,province,city,province,city,2,1
年,月,日,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,province,city,province,city,1
年,月,日,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,province,city,province,city,1
年,月,日,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,province,city,province,city,1
年,月,日,辽宁省烟草公司沈阳市公司,这里填付款人账号,,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,province,city,province,city,1
2017,03,09,辽宁省烟草公司锦州市公司,12345678,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,叁拾叁万捌千柒百柒拾叁元伍角整,338773.5,托收票据名称,待补充,款项接收日期,浦发辽宁锦州分行,辽宁,锦州,河南,郑州,1
2017,03,09,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,辽宁,大连,河南,郑州,1
2017,03,09,辽宁省烟草公司锦州市公司,12345678,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,叁拾叁万捌千柒百柒拾叁元伍角整,338773.5,托收票据名称,待补充,款项接收日期,浦发辽宁锦州分行,辽宁,锦州,河南,郑州,1
2017,	03,	09,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,辽宁,大连,河南,郑州,1
2017,	03,	09,辽宁省烟草公司沈阳市公司,这里填付款人账号,河南中烟工业有限责任公司,这里填收款人账号,款项用途,浦发银行郑州分行,肆拾肆万贰千柒百伍拾元贰角叁分,442750.23,托收票据名称,待补充,款项接收日期,浦发银行大连分行,辽宁,大连,河南,郑州,1
